"","Year","State","Label","Population.16.years.and.over","In.labor.force","Employed","Unemployed","Armed.Forces","Not.in.labor.force","Unemployment.Rate","Females.16.years.and.over","Females.in.Labor.Force","Females.Employed","Agriculture..forestry..fishing.and.hunting..and.mining","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing..and.utilities","Information","Finance.and.insurance..and.real.estate.and.rental.and.leasing","Professional..scientific..and.management..and.administrative.and.waste.management.services","Educational.services..and.health.care.and.social.assistance","Arts..entertainment..and.recreation..and.accommodation.and.food.services","Other.services..except.public.administration","Public.administration","Total.households","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..24.999","X.25.000.to..34.999","X.35.000.to..49.999","X.50.000.to..74.999","X.75.000.to..99.999","X.100.000.to..149.999","X.150.000.to..199.999","X.200.000.or.more","Median.household.income..dollars.","Mean.household.income..dollars.","Enrollment","Above.Or.Below.US.Mean.Income","total_enrollment"
"1",2010,"Alabama","Estimate","3,785,555","2,259,466","1,978,825","265,383","15,258","1,526,089",NA,"1,974,740","1,069,607","942,584","38,237","139,886","270,156","55,155","242,965","98,189","33,680","113,437","180,415","423,565","165,400","101,656","116,084","1,815,152","196,253","135,182","248,179","215,998","276,808","307,976","177,709","163,908","54,325","38,814","40,474",55778,327606,"Below",21003513
"2",2010,"Alabama","Percent","3,785,555","59.7%","52.3%","7.0%","0.4%","40.3%",11.8,"1,974,740","54.2%","47.7%","1.9%","7.1%","13.7%","2.8%","12.3%","5.0%","1.7%","5.7%","9.1%","21.4%","8.4%","5.1%","5.9%","1,815,152","10.8%","7.4%","13.7%","11.9%","15.2%","17.0%","9.8%","9.0%","3.0%","2.1%","(X)",NA,327606,"",21003513
"3",2010,"Delaware","Percent","716,786","63.6%","57.4%","5.9%","0.4%","36.4%",9.3,"374,282","60.7%","55.3%","1.1%","6.9%","9.0%","2.2%","12.0%","4.5%","1.6%","11.3%","8.7%","23.6%","8.7%","4.2%","6.0%","328,765","6.0%","4.7%","10.1%","9.6%","13.9%","19.6%","13.2%","14.3%","4.9%","3.6%","(X)",NA,55258,"",21003513
"4",2010,"Delaware","Estimate","716,786","456,070","411,120","42,086","2,864","260,716",NA,"374,282","227,137","207,060","4,717","28,511","37,031","8,912","49,424","18,639","6,709","46,429","35,889","97,105","35,646","17,425","24,683","328,765","19,765","15,596","33,161","31,450","45,717","64,472","43,486","47,145","16,198","11,775","55,847",72550,55258,"Above",21003513
"5",2010,"Indiana","Estimate","5,070,852","3,254,291","2,898,761","351,715","3,815","1,816,561",NA,"2,600,883","1,543,664","1,390,990","45,234","166,210","529,650","74,384","339,353","147,969","45,271","156,847","215,129","671,547","262,720","140,332","104,115","2,470,905","188,376","146,257","321,613","308,668","393,538","473,737","287,259","239,250","60,755","51,452","44,613",58451,459493,"Below",21003513
"6",2010,"Indiana","Percent","5,070,852","64.2%","57.2%","6.9%","0.1%","35.8%",10.8,"2,600,883","59.4%","53.5%","1.6%","5.7%","18.3%","2.6%","11.7%","5.1%","1.6%","5.4%","7.4%","23.2%","9.1%","4.8%","3.6%","2,470,905","7.6%","5.9%","13.0%","12.5%","15.9%","19.2%","11.6%","9.7%","2.5%","2.1%","(X)",NA,459493,"",21003513
"7",2010,"Alaska","Percent","546,981","71.6%","61.7%","6.6%","3.3%","28.4%",9.6,"262,474","65.6%","59.6%","5.2%","7.2%","4.5%","2.1%","10.9%","7.6%","1.9%","3.8%","7.3%","23.3%","9.0%","3.9%","13.3%","254,610","4.2%","4.6%","8.1%","8.9%","12.2%","19.1%","13.3%","18.0%","6.4%","5.1%","(X)",NA,34799,"",21003513
"8",2010,"Alaska","Estimate","546,981","391,864","337,683","36,020","18,161","155,117",NA,"262,474","172,202","156,353","17,519","24,162","15,169","7,105","36,856","25,614","6,404","12,977","24,732","78,618","30,483","13,104","44,940","254,610","10,654","11,818","20,729","22,768","31,180","48,616","33,925","45,846","16,204","12,870","64,576",81290,34799,"Above",21003513
"9",2010,"District of Columbia","Estimate","515,434","344,327","299,127","42,368","2,832","171,107",NA,"274,696","174,816","154,332","174","8,866","3,113","2,717","15,923","11,159","11,748","15,640","66,452","55,973","26,169","26,834","54,359","252,388","26,272","13,898","20,467","19,415","26,462","39,682","29,131","33,049","17,910","26,102","60,903",92959,91992,"Above",21003513
"10",2010,"District of Columbia","Percent","515,434","66.8%","58.0%","8.2%","0.5%","33.2%",12.4,"274,696","63.6%","56.2%","0.1%","3.0%","1.0%","0.9%","5.3%","3.7%","3.9%","5.2%","22.2%","18.7%","8.7%","9.0%","18.2%","252,388","10.4%","5.5%","8.1%","7.7%","10.5%","15.7%","11.5%","13.1%","7.1%","10.3%","(X)",NA,91992,"",21003513
"11",2010,"Iowa","Percent","2,409,078","68.6%","63.9%","4.6%","0.1%","31.4%",6.7,"1,229,740","64.2%","60.2%","4.2%","6.0%","14.2%","3.1%","11.6%","4.9%","2.0%","7.9%","6.7%","24.0%","7.6%","4.5%","3.3%","1,223,439","6.4%","5.8%","12.1%","11.7%","15.9%","20.4%","12.5%","10.3%","2.8%","2.1%","(X)",NA,381867,"",21003513
"12",2010,"Iowa","Estimate","2,409,078","1,653,217","1,540,038","111,463","1,716","755,861",NA,"1,229,740","789,846","740,055","64,169","93,041","218,316","48,128","178,794","75,440","30,104","121,712","103,115","369,715","117,517","68,704","51,283","1,223,439","78,330","70,892","147,678","142,866","194,745","250,148","153,171","126,075","34,160","25,374","47,961",60901,381867,"Below",21003513
